subject_index,video_index,y_true,y_pred
0,1,0,0
0,2,0,0
0,3,0,6
0,4,1,1
0,5,1,1
0,6,1,1
0,7,2,2
0,8,2,2
0,9,2,0
0,10,3,3
0,11,3,1
0,12,3,7
0,13,4,6
0,14,4,4
0,15,4,0
0,16,4,4
0,17,5,5
0,18,5,5
0,19,5,5
0,20,6,7
0,21,6,6
0,22,6,6
0,23,7,4
0,24,7,7
0,25,7,2
0,26,8,8
0,27,8,8
0,28,8,8
1,1,0,0
1,2,0,0
1,3,0,0
1,4,1,6
1,5,1,1
1,6,1,1
1,7,2,2
1,8,2,2
1,9,2,8
1,10,3,3
1,11,3,0
1,12,3,0
1,13,4,2
1,14,4,4
1,15,4,4
1,16,4,1
1,17,5,5
1,18,5,5
1,19,5,5
1,20,6,3
1,21,6,3
1,22,6,6
1,23,7,1
1,24,7,7
1,25,7,7
1,26,8,4
1,27,8,8
1,28,8,8
2,1,0,0
2,2,0,0
2,3,0,0
2,4,1,1
2,5,1,1
2,6,1,1
2,7,2,2
2,8,2,2
2,9,2,2
2,10,3,3
2,11,3,1
2,12,3,2
2,13,4,4
2,14,4,4
2,15,4,4
2,16,4,4
2,17,5,5
2,18,5,5
2,19,5,5
2,20,6,8
2,21,6,6
2,22,6,0
2,23,7,7
2,24,7,1
2,25,7,0
2,26,8,1
2,27,8,8
2,28,8,7
3,1,0,8
3,2,0,7
3,3,0,0
3,4,1,8
3,5,1,6
3,6,1,0
3,7,2,8
3,8,2,7
3,9,2,8
3,10,3,8
3,11,3,0
3,12,3,0
3,13,4,8
3,14,4,0
3,15,4,0
3,16,4,8
3,17,5,8
3,18,5,0
3,19,5,4
3,20,6,0
3,21,6,0
3,22,6,0
3,23,7,0
3,24,7,8
3,25,7,2
3,26,8,0
3,27,8,8
3,28,8,6
4,1,0,0
4,2,0,0
4,3,0,1
4,4,1,1
4,5,1,4
4,6,1,3
4,7,2,5
4,8,2,7
4,9,2,7
4,10,3,7
4,11,3,2
4,12,3,3
4,13,4,8
4,14,4,0
4,15,4,4
4,16,4,4
4,17,5,2
4,18,5,1
4,19,5,5
4,20,6,2
4,21,6,3
4,22,6,7
4,23,7,7
4,24,7,2
4,25,7,7
4,26,8,3
4,27,8,4
4,28,8,8
5,1,0,0
5,2,0,0
5,3,0,4
5,4,1,2
5,5,1,1
5,6,1,1
5,7,2,4
5,8,2,2
5,9,2,2
5,10,3,3
5,11,3,1
5,12,3,3
5,13,4,4
5,14,4,4
5,15,4,4
5,16,4,4
5,17,5,5
5,18,5,5
5,19,5,5
5,20,6,6
5,21,6,3
5,22,6,6
5,23,7,7
5,24,7,5
5,25,7,7
5,26,8,8
5,27,8,2
5,28,8,8
6,1,0,0
6,2,0,0
6,3,0,2
6,4,1,5
6,5,1,1
6,6,1,1
6,7,2,4
6,8,2,2
6,9,2,7
6,10,3,3
6,11,3,3
6,12,3,8
6,13,4,4
6,14,4,4
6,15,4,4
6,16,4,4
6,17,5,5
6,18,5,5
6,19,5,7
6,20,6,6
6,21,6,6
6,22,6,6
6,23,7,7
6,24,7,7
6,25,7,7
6,26,8,8
6,27,8,8
6,28,8,8
7,1,0,0
7,2,0,0
7,3,0,0
7,4,1,7
7,5,1,1
7,6,1,1
7,7,2,2
7,8,2,4
7,9,2,7
7,10,3,7
7,11,3,4
7,12,3,6
7,13,4,4
7,14,4,4
7,15,4,8
7,16,4,3
7,17,5,2
7,18,5,5
7,19,5,8
7,20,6,6
7,21,6,3
7,22,6,4
7,23,7,7
7,24,7,5
7,25,7,4
7,26,8,8
7,27,8,8
7,28,8,7
8,1,0,0
8,2,0,0
8,3,0,4
8,4,1,5
8,5,1,1
8,6,1,1
8,7,2,1
8,8,2,4
8,9,2,1
8,10,3,3
8,11,3,3
8,12,3,3
8,13,4,6
8,14,4,4
8,15,4,4
8,16,4,4
8,17,5,5
8,18,5,5
8,19,5,5
8,20,6,6
8,21,6,6
8,22,6,6
8,23,7,1
8,24,7,1
8,25,7,7
8,26,8,8
8,27,8,2
8,28,8,8
9,1,0,0
9,2,0,0
9,3,0,1
9,4,1,1
9,5,1,1
9,6,1,3
9,7,2,2
9,8,2,2
9,9,2,1
9,10,3,1
9,11,3,3
9,12,3,3
9,13,4,1
9,14,4,4
9,15,4,4
9,16,4,2
9,17,5,5
9,18,5,5
9,19,5,5
9,20,6,6
9,21,6,3
9,22,6,6
9,23,7,7
9,24,7,7
9,25,7,2
9,26,8,2
9,27,8,8
9,28,8,7
10,1,0,8
10,2,0,6
10,3,0,2
10,4,1,1
10,5,1,5
10,6,1,1
10,7,2,3
10,8,2,6
10,9,2,5
10,10,3,7
10,11,3,0
10,12,3,3
10,13,4,1
10,14,4,7
10,15,4,1
10,16,4,4
10,17,5,7
10,18,5,5
10,19,5,5
10,20,6,8
10,21,6,4
10,22,6,6
10,23,7,6
10,24,7,6
10,25,7,7
10,26,8,3
10,27,8,8
10,28,8,8
11,1,0,0
11,2,0,0
11,3,0,3
11,4,1,1
11,5,1,1
11,6,1,4
11,7,2,2
11,8,2,2
11,9,2,2
11,10,3,3
11,11,3,3
11,12,3,4
11,13,4,7
11,14,4,3
11,15,4,4
11,16,4,3
11,17,5,5
11,18,5,5
11,19,5,5
11,20,6,8
11,21,6,3
11,22,6,6
11,23,7,7
11,24,7,7
11,25,7,7
11,26,8,8
11,27,8,8
11,28,8,8
12,1,0,0
12,2,0,0
12,3,0,0
12,4,1,1
12,5,1,1
12,6,1,5
12,7,2,2
12,8,2,7
12,9,2,2
12,10,3,3
12,11,3,7
12,12,3,2
12,13,4,4
12,14,4,4
12,15,4,4
12,16,4,4
12,17,5,7
12,18,5,7
12,19,5,5
12,20,6,8
12,21,6,6
12,22,6,6
12,23,7,3
12,24,7,7
12,25,7,7
12,26,8,8
12,27,8,8
12,28,8,8
13,1,0,0
13,2,0,8
13,3,0,0
13,4,1,1
13,5,1,1
13,6,1,3
13,7,2,2
13,8,2,7
13,9,2,2
13,10,3,3
13,11,3,3
13,12,3,4
13,13,4,4
13,14,4,4
13,15,4,5
13,16,4,4
13,17,5,5
13,18,5,0
13,19,5,5
13,20,6,6
13,21,6,3
13,22,6,6
13,23,7,7
13,24,7,7
13,25,7,7
13,26,8,8
13,27,8,8
13,28,8,8
14,1,0,0
14,2,0,0
14,3,0,1
14,4,1,1
14,5,1,1
14,6,1,1
14,7,2,1
14,8,2,2
14,9,2,2
14,10,3,3
14,11,3,3
14,12,3,3
14,13,4,4
14,14,4,4
14,15,4,4
14,16,4,0
14,17,5,5
14,18,5,5
14,19,5,1
14,20,6,6
14,21,6,6
14,22,6,6
14,23,7,7
14,24,7,7
14,25,7,7
14,26,8,8
14,27,8,8
14,28,8,8
15,1,0,8
15,2,0,0
15,3,0,1
15,4,1,5
15,5,1,1
15,6,1,2
15,7,2,2
15,8,2,2
15,9,2,6
15,10,3,3
15,11,3,1
15,12,3,3
15,13,4,4
15,14,4,4
15,15,4,4
15,16,4,4
15,17,5,5
15,18,5,5
15,19,5,5
15,20,6,6
15,21,6,6
15,22,6,6
15,23,7,7
15,24,7,7
15,25,7,7
15,26,8,8
15,27,8,8
15,28,8,8
16,1,0,8
16,2,0,8
16,3,0,1
16,4,1,1
16,5,1,1
16,6,1,2
16,7,2,1
16,8,2,2
16,9,2,2
16,10,3,4
16,11,3,3
16,12,3,3
16,13,4,4
16,14,4,8
16,15,4,4
16,16,4,3
16,17,5,8
16,18,5,5
16,19,5,5
16,20,6,8
16,21,6,8
16,22,6,6
16,23,7,5
16,24,7,5
16,25,7,7
16,26,8,6
16,27,8,8
16,28,8,5
17,1,0,0
17,2,0,0
17,3,0,7
17,4,1,1
17,5,1,1
17,6,1,1
17,7,2,2
17,8,2,2
17,9,2,2
17,10,3,3
17,11,3,6
17,12,3,5
17,13,4,7
17,14,4,4
17,15,4,3
17,16,4,4
17,17,5,2
17,18,5,5
17,19,5,5
17,20,6,6
17,21,6,6
17,22,6,6
17,23,7,7
17,24,7,7
17,25,7,7
17,26,8,8
17,27,8,7
17,28,8,8
18,1,0,0
18,2,0,0
18,3,0,4
18,4,1,5
18,5,1,1
18,6,1,1
18,7,2,4
18,8,2,7
18,9,2,2
18,10,3,3
18,11,3,5
18,12,3,3
18,13,4,4
18,14,4,3
18,15,4,4
18,16,4,4
18,17,5,1
18,18,5,8
18,19,5,5
18,20,6,8
18,21,6,3
18,22,6,6
18,23,7,4
18,24,7,7
18,25,7,7
18,26,8,8
18,27,8,8
18,28,8,8
19,1,0,0
19,2,0,0
19,3,0,0
19,4,1,1
19,5,1,1
19,6,1,1
19,7,2,2
19,8,2,2
19,9,2,2
19,10,3,3
19,11,3,4
19,12,3,3
19,13,4,4
19,14,4,4
19,15,4,4
19,16,4,4
19,17,5,5
19,18,5,2
19,19,5,5
19,20,6,6
19,21,6,3
19,22,6,6
19,23,7,7
19,24,7,7
19,25,7,7
19,26,8,8
19,27,8,8
19,28,8,8
20,1,0,0
20,2,0,0
20,3,0,3
20,4,1,1
20,5,1,1
20,6,1,1
20,7,2,2
20,8,2,8
20,9,2,2
20,10,3,4
20,11,3,3
20,12,3,5
20,13,4,4
20,14,4,4
20,15,4,4
20,16,4,4
20,17,5,5
20,18,5,5
20,19,5,5
20,20,6,6
20,21,6,4
20,22,6,5
20,23,7,7
20,24,7,7
20,25,7,7
20,26,8,8
20,27,8,7
20,28,8,8
21,1,0,0
21,2,0,0
21,3,0,6
21,4,1,1
21,5,1,1
21,6,1,1
21,7,2,2
21,8,2,5
21,9,2,2
21,10,3,3
21,11,3,3
21,12,3,3
21,13,4,4
21,14,4,4
21,15,4,4
21,16,4,4
21,17,5,5
21,18,5,0
21,19,5,2
21,20,6,0
21,21,6,6
21,22,6,6
21,23,7,7
21,24,7,1
21,25,7,2
21,26,8,8
21,27,8,8
21,28,8,8
22,1,0,0
22,2,0,8
22,3,0,0
22,4,1,1
22,5,1,2
22,6,1,8
22,7,2,2
22,8,2,2
22,9,2,5
22,10,3,3
22,11,3,3
22,12,3,3
22,13,4,3
22,14,4,4
22,15,4,4
22,16,4,0
22,17,5,5
22,18,5,5
22,19,5,5
22,20,6,8
22,21,6,3
22,22,6,6
22,23,7,4
22,24,7,3
22,25,7,7
22,26,8,8
22,27,8,8
22,28,8,7
23,1,0,4
23,2,0,8
23,3,0,8
23,4,1,8
23,5,1,7
23,6,1,4
23,7,2,0
23,8,2,4
23,9,2,4
23,10,3,6
23,11,3,8
23,12,3,4
23,13,4,6
23,14,4,8
23,15,4,1
23,16,4,6
23,17,5,4
23,18,5,6
23,19,5,4
