subject_index,video_index,y_true,y_pred
0,1,0,2
0,2,0,0
0,3,0,5
0,4,1,7
0,5,1,3
0,6,1,2
0,7,2,6
0,8,2,0
0,9,2,7
0,10,3,7
0,11,3,7
0,12,3,6
0,13,4,0
0,14,4,1
0,15,4,2
0,16,4,5
0,17,5,1
0,18,5,3
0,19,5,5
0,20,6,0
0,21,6,6
0,22,6,0
0,23,7,6
0,24,7,7
0,25,7,3
0,26,8,7
0,27,8,4
0,28,8,6
1,1,0,2
1,2,0,4
1,3,0,0
1,4,1,4
1,5,1,1
1,6,1,1
1,7,2,1
1,8,2,7
1,9,2,8
1,10,3,3
1,11,3,8
1,12,3,3
1,13,4,7
1,14,4,6
1,15,4,4
1,16,4,4
1,17,5,0
1,18,5,1
1,19,5,5
1,20,6,6
1,21,6,4
1,22,6,2
1,23,7,7
1,24,7,6
1,25,7,0
1,26,8,5
1,27,8,7
1,28,8,8
2,1,0,0
2,2,0,0
2,3,0,0
2,4,1,3
2,5,1,7
2,6,1,7
2,7,2,0
2,8,2,2
2,9,2,2
2,10,3,3
2,11,3,3
2,12,3,1
2,13,4,4
2,14,4,6
2,15,4,4
2,16,4,5
2,17,5,5
2,18,5,7
2,19,5,5
2,20,6,0
2,21,6,6
2,22,6,6
2,23,7,6
2,24,7,7
2,25,7,4
2,26,8,2
2,27,8,8
2,28,8,5
3,1,0,2
3,2,0,0
3,3,0,0
3,4,1,1
3,5,1,7
3,6,1,3
3,7,2,4
3,8,2,0
3,9,2,8
3,10,3,4
3,11,3,7
3,12,3,4
3,13,4,2
3,14,4,6
3,15,4,8
3,16,4,1
3,17,5,1
3,18,5,7
3,19,5,3
3,20,6,3
3,21,6,4
3,22,6,6
3,23,7,7
3,24,7,7
3,25,7,0
3,26,8,8
3,27,8,7
3,28,8,5
4,1,0,6
4,2,0,1
4,3,0,0
4,4,1,2
4,5,1,4
4,6,1,1
4,7,2,6
4,8,2,6
4,9,2,6
4,10,3,8
4,11,3,7
4,12,3,0
4,13,4,0
4,14,4,0
4,15,4,8
4,16,4,0
4,17,5,8
4,18,5,2
4,19,5,6
4,20,6,0
4,21,6,6
4,22,6,8
4,23,7,7
4,24,7,1
4,25,7,0
4,26,8,0
4,27,8,0
4,28,8,0
5,1,0,4
5,2,0,0
5,3,0,5
5,4,1,3
5,5,1,4
5,6,1,0
5,7,2,4
5,8,2,6
5,9,2,7
5,10,3,3
5,11,3,4
5,12,3,6
5,13,4,0
5,14,4,0
5,15,4,7
5,16,4,8
5,17,5,2
5,18,5,4
5,19,5,1
5,20,6,1
5,21,6,7
5,22,6,8
5,23,7,7
5,24,7,0
5,25,7,7
5,26,8,4
5,27,8,3
5,28,8,8
6,1,0,1
6,2,0,1
6,3,0,7
6,4,1,1
6,5,1,3
6,6,1,1
6,7,2,6
6,8,2,6
6,9,2,1
6,10,3,5
6,11,3,5
6,12,3,7
6,13,4,4
6,14,4,3
6,15,4,4
6,16,4,7
6,17,5,6
6,18,5,3
6,19,5,0
6,20,6,8
6,21,6,4
6,22,6,0
6,23,7,3
6,24,7,6
6,25,7,8
6,26,8,4
6,27,8,7
6,28,8,5
7,1,0,2
7,2,0,2
7,3,0,6
7,4,1,3
7,5,1,2
7,6,1,0
7,7,2,3
7,8,2,1
7,9,2,6
7,10,3,2
7,11,3,2
7,12,3,1
7,13,4,1
7,14,4,4
7,15,4,3
7,16,4,1
7,17,5,6
7,18,5,2
7,19,5,4
7,20,6,6
7,21,6,3
7,22,6,4
7,23,7,7
7,24,7,7
7,25,7,7
7,26,8,4
7,27,8,7
7,28,8,7
8,1,0,8
8,2,0,0
8,3,0,0
8,4,1,3
8,5,1,0
8,6,1,2
8,7,2,3
8,8,2,1
8,9,2,8
8,10,3,3
8,11,3,7
8,12,3,0
8,13,4,6
8,14,4,3
8,15,4,8
8,16,4,7
8,17,5,8
8,18,5,0
8,19,5,2
8,20,6,4
8,21,6,6
8,22,6,6
8,23,7,4
8,24,7,4
8,25,7,7
8,26,8,5
8,27,8,5
8,28,8,8
9,1,0,6
9,2,0,0
9,3,0,7
9,4,1,8
9,5,1,1
9,6,1,4
9,7,2,0
9,8,2,2
9,9,2,2
9,10,3,7
9,11,3,3
9,12,3,2
9,13,4,0
9,14,4,4
9,15,4,1
9,16,4,7
9,17,5,2
9,18,5,5
9,19,5,5
9,20,6,6
9,21,6,3
9,22,6,6
9,23,7,2
9,24,7,6
9,25,7,4
9,26,8,8
9,27,8,8
9,28,8,8
10,1,0,0
10,2,0,4
10,3,0,2
10,4,1,4
10,5,1,1
10,6,1,6
10,7,2,0
10,8,2,1
10,9,2,2
10,10,3,3
10,11,3,3
10,12,3,4
10,13,4,4
10,14,4,4
10,15,4,4
10,16,4,4
10,17,5,5
10,18,5,5
10,19,5,8
10,20,6,4
10,21,6,3
10,22,6,7
10,23,7,7
10,24,7,7
10,25,7,4
10,26,8,7
10,27,8,6
10,28,8,4
11,1,0,7
11,2,0,1
11,3,0,0
11,4,1,4
11,5,1,6
11,6,1,1
11,7,2,5
11,8,2,0
11,9,2,0
11,10,3,8
11,11,3,2
11,12,3,8
11,13,4,0
11,14,4,4
11,15,4,0
11,16,4,4
11,17,5,0
11,18,5,2
11,19,5,5
11,20,6,5
11,21,6,0
11,22,6,7
11,23,7,4
11,24,7,5
11,25,7,7
11,26,8,4
11,27,8,5
11,28,8,4
12,1,0,0
12,2,0,2
12,3,0,4
12,4,1,8
12,5,1,1
12,6,1,7
12,7,2,0
12,8,2,5
12,9,2,2
12,10,3,3
12,11,3,4
12,12,3,1
12,13,4,6
12,14,4,4
12,15,4,4
12,16,4,4
12,17,5,5
12,18,5,5
12,19,5,3
12,20,6,7
12,21,6,8
12,22,6,0
12,23,7,2
12,24,7,3
12,25,7,7
12,26,8,5
12,27,8,6
12,28,8,8
13,1,0,7
13,2,0,6
13,3,0,8
13,4,1,3
13,5,1,6
13,6,1,6
13,7,2,1
13,8,2,1
13,9,2,4
13,10,3,7
13,11,3,3
13,12,3,3
13,13,4,3
13,14,4,3
13,15,4,3
13,16,4,4
13,17,5,8
13,18,5,7
13,19,5,3
13,20,6,7
13,21,6,4
13,22,6,7
13,23,7,7
13,24,7,7
13,25,7,4
13,26,8,4
13,27,8,1
13,28,8,7
14,1,0,2
14,2,0,1
14,3,0,0
14,4,1,7
14,5,1,1
14,6,1,1
14,7,2,0
14,8,2,2
14,9,2,7
14,10,3,5
14,11,3,7
14,12,3,6
14,13,4,0
14,14,4,6
14,15,4,4
14,16,4,7
14,17,5,5
14,18,5,7
14,19,5,7
14,20,6,6
14,21,6,4
14,22,6,2
14,23,7,7
14,24,7,5
14,25,7,7
14,26,8,8
14,27,8,8
14,28,8,8
15,1,0,4
15,2,0,3
15,3,0,3
15,4,1,1
15,5,1,7
15,6,1,6
15,7,2,3
15,8,2,2
15,9,2,5
15,10,3,7
15,11,3,4
15,12,3,7
15,13,4,6
15,14,4,3
15,15,4,4
15,16,4,6
15,17,5,7
15,18,5,4
15,19,5,5
15,20,6,0
15,21,6,4
15,22,6,6
15,23,7,1
15,24,7,1
15,25,7,3
15,26,8,8
15,27,8,2
15,28,8,6
16,1,0,2
16,2,0,1
16,3,0,0
16,4,1,2
16,5,1,1
16,6,1,1
16,7,2,7
16,8,2,8
16,9,2,2
16,10,3,1
16,11,3,4
16,12,3,0
16,13,4,4
16,14,4,4
16,15,4,2
16,16,4,4
16,17,5,5
16,18,5,7
16,19,5,5
16,20,6,6
16,21,6,3
16,22,6,8
16,23,7,0
16,24,7,7
16,25,7,7
16,26,8,6
16,27,8,8
16,28,8,5
17,1,0,2
17,2,0,1
17,3,0,0
17,4,1,2
17,5,1,4
17,6,1,6
17,7,2,4
17,8,2,0
17,9,2,0
17,10,3,6
17,11,3,4
17,12,3,1
17,13,4,8
17,14,4,7
17,15,4,8
17,16,4,7
17,17,5,5
17,18,5,1
17,19,5,5
17,20,6,6
17,21,6,0
17,22,6,7
17,23,7,7
17,24,7,7
17,25,7,8
17,26,8,6
17,27,8,8
17,28,8,8
18,1,0,6
18,2,0,0
18,3,0,8
18,4,1,1
18,5,1,3
18,6,1,1
18,7,2,3
18,8,2,2
18,9,2,2
18,10,3,3
18,11,3,2
18,12,3,0
18,13,4,3
18,14,4,3
18,15,4,4
18,16,4,2
18,17,5,1
18,18,5,1
18,19,5,7
18,20,6,8
18,21,6,6
18,22,6,0
18,23,7,1
18,24,7,1
18,25,7,7
18,26,8,3
18,27,8,8
18,28,8,8
19,1,0,4
19,2,0,0
19,3,0,0
19,4,1,3
19,5,1,4
19,6,1,1
19,7,2,3
19,8,2,4
19,9,2,2
19,10,3,7
19,11,3,4
19,12,3,1
19,13,4,4
19,14,4,4
19,15,4,8
19,16,4,1
19,17,5,0
19,18,5,2
19,19,5,5
19,20,6,0
19,21,6,8
19,22,6,2
19,23,7,4
19,24,7,1
19,25,7,4
19,26,8,4
19,27,8,8
19,28,8,8
20,1,0,2
20,2,0,8
20,3,0,7
20,4,1,3
20,5,1,1
20,6,1,2
20,7,2,2
20,8,2,4
20,9,2,2
20,10,3,1
20,11,3,7
20,12,3,1
20,13,4,3
20,14,4,0
20,15,4,4
20,16,4,7
20,17,5,5
20,18,5,5
20,19,5,3
20,20,6,0
20,21,6,0
20,22,6,8
20,23,7,3
20,24,7,7
20,25,7,2
20,26,8,7
20,27,8,8
20,28,8,8
21,1,0,0
21,2,0,2
21,3,0,7
21,4,1,2
21,5,1,8
21,6,1,3
21,7,2,1
21,8,2,2
21,9,2,2
21,10,3,5
21,11,3,1
21,12,3,3
21,13,4,8
21,14,4,1
21,15,4,4
21,16,4,1
21,17,5,7
21,18,5,5
21,19,5,3
21,20,6,8
21,21,6,1
21,22,6,1
21,23,7,6
21,24,7,3
21,25,7,8
21,26,8,2
21,27,8,8
21,28,8,2
22,1,0,4
22,2,0,1
22,3,0,6
22,4,1,1
22,5,1,7
22,6,1,2
22,7,2,3
22,8,2,0
22,9,2,4
22,10,3,6
22,11,3,4
22,12,3,4
22,13,4,2
22,14,4,2
22,15,4,5
22,16,4,1
22,17,5,7
22,18,5,6
22,19,5,3
22,20,6,4
22,21,6,6
22,22,6,6
22,23,7,0
22,24,7,0
22,25,7,7
22,26,8,4
22,27,8,1
22,28,8,1
23,1,0,4
23,2,0,0
23,3,0,6
23,4,1,5
23,5,1,3
23,6,1,6
23,7,2,1
23,8,2,4
23,9,2,0
23,10,3,3
23,11,3,8
23,12,3,0
23,13,4,3
23,14,4,0
23,15,4,4
23,16,4,1
23,17,5,7
23,18,5,0
23,19,5,1
23,20,6,3
23,21,6,1
23,22,6,6
23,23,7,6
23,24,7,1
23,25,7,6
23,26,8,0
23,27,8,8
23,28,8,6
24,1,0,4
24,2,0,1
24,3,0,7
24,4,1,4
24,5,1,7
24,6,1,8
24,7,2,8
24,8,2,8
24,9,2,4
24,10,3,7
24,11,3,1
24,12,3,8
24,13,4,1
24,14,4,1
24,15,4,4
24,16,4,3
24,17,5,8
24,18,5,6
24,19,5,3
24,20,6,6
24,21,6,1
24,22,6,1
24,23,7,3
24,24,7,6
24,25,7,6
24,26,8,8
24,27,8,3
24,28,8,8
25,1,0,0
25,2,0,2
25,3,0,3
25,4,1,1
25,5,1,1
25,6,1,1
25,7,2,4
25,8,2,6
25,9,2,2
25,10,3,1
25,11,3,6
25,12,3,1
25,13,4,4
25,14,4,4
25,15,4,8
25,16,4,1
25,17,5,8
25,18,5,7
25,19,5,5
25,20,6,4
25,21,6,3
25,22,6,5
25,23,7,7
25,24,7,7
25,25,7,8
25,26,8,5
25,27,8,8
25,28,8,8
26,1,0,0
26,2,0,0
26,3,0,5
26,4,1,3
26,5,1,4
26,6,1,3
26,7,2,0
26,8,2,4
26,9,2,1
26,10,3,4
26,11,3,0
26,12,3,1
26,13,4,4
26,14,4,0
26,15,4,3
26,16,4,3
26,17,5,0
26,18,5,5
26,19,5,7
26,20,6,0
26,21,6,0
26,22,6,7
26,23,7,0
26,24,7,3
26,25,7,0
26,26,8,8
26,27,8,2
26,28,8,2
27,1,0,8
27,2,0,5
27,3,0,2
27,4,1,2
27,5,1,1
27,6,1,1
27,7,2,0
27,8,2,5
27,9,2,6
27,10,3,0
27,11,3,7
27,12,3,8
27,13,4,4
27,14,4,4
27,15,4,4
27,16,4,3
27,17,5,2
27,18,5,2
27,19,5,5
27,20,6,0
27,21,6,4
27,22,6,8
27,23,7,0
27,24,7,7
27,25,7,3
27,26,8,7
27,27,8,8
27,28,8,8
28,1,0,3
28,2,0,1
28,3,0,6
28,4,1,4
28,5,1,1
28,6,1,1
28,7,2,3
28,8,2,0
28,9,2,2
28,10,3,1
28,11,3,2
28,12,3,5
28,13,4,4
28,14,4,0
28,15,4,8
28,16,4,7
28,17,5,3
28,18,5,1
28,19,5,1
28,20,6,7
28,21,6,6
28,22,6,1
28,23,7,0
28,24,7,7
28,25,7,4
28,26,8,1
28,27,8,8
28,28,8,6
29,1,0,3
29,2,0,0
29,3,0,4
29,4,1,8
29,5,1,1
29,6,1,4
29,7,2,1
29,8,2,1
29,9,2,2
29,10,3,1
29,11,3,3
29,12,3,3
29,13,4,7
29,14,4,7
29,15,4,1
29,16,4,7
29,17,5,0
29,18,5,1
29,19,5,7
29,20,6,7
29,21,6,4
29,22,6,3
29,23,7,8
29,24,7,4
29,25,7,7
29,26,8,4
29,27,8,0
29,28,8,1
30,1,0,2
30,2,0,4
30,3,0,7
30,4,1,1
30,5,1,1
30,6,1,5
30,7,2,2
30,8,2,6
30,9,2,8
30,10,3,3
30,11,3,3
30,12,3,7
30,13,4,4
30,14,4,4
30,15,4,4
30,16,4,4
30,17,5,5
30,18,5,6
30,19,5,5
30,20,6,6
30,21,6,5
30,22,6,3
30,23,7,1
30,24,7,4
30,25,7,2
30,26,8,4
30,27,8,8
30,28,8,8
31,1,0,2
31,2,0,0
31,3,0,5
31,4,1,7
31,5,1,1
31,6,1,4
31,7,2,2
31,8,2,2
31,9,2,2
31,10,3,3
31,11,3,7
31,12,3,4
31,13,4,4
31,14,4,7
31,15,4,4
31,16,4,5
31,17,5,5
31,18,5,7
31,19,5,5
31,20,6,0
31,21,6,6
31,22,6,6
31,23,7,7
31,24,7,5
31,25,7,2
31,26,8,2
31,27,8,8
31,28,8,8
32,1,0,8
32,2,0,4
32,3,0,4
32,4,1,3
32,5,1,4
32,6,1,1
32,7,2,3
32,8,2,4
32,9,2,4
32,10,3,4
32,11,3,4
32,12,3,4
32,13,4,5
32,14,4,5
32,15,4,4
32,16,4,5
32,17,5,2
32,18,5,2
32,19,5,2
32,20,6,8
32,21,6,1
32,22,6,2
32,23,7,2
32,24,7,2
32,25,7,2
32,26,8,6
32,27,8,3
32,28,8,8
33,1,0,2
33,2,0,6
33,3,0,5
33,4,1,2
33,5,1,1
33,6,1,1
33,7,2,0
33,8,2,2
33,9,2,2
33,10,3,7
33,11,3,8
33,12,3,4
33,13,4,3
33,14,4,4
33,15,4,6
33,16,4,4
33,17,5,6
33,18,5,4
33,19,5,1
33,20,6,0
33,21,6,6
33,22,6,6
33,23,7,7
33,24,7,3
33,25,7,4
33,26,8,6
33,27,8,0
33,28,8,2
34,1,0,0
34,2,0,6
34,3,0,3
34,4,1,5
34,5,1,1
34,6,1,1
34,7,2,3
34,8,2,2
34,9,2,5
34,10,3,3
34,11,3,1
34,12,3,1
34,13,4,3
34,14,4,4
34,15,4,4
34,16,4,5
34,17,5,8
34,18,5,0
34,19,5,5
34,20,6,4
34,21,6,3
34,22,6,6
34,23,7,7
34,24,7,3
34,25,7,5
34,26,8,7
34,27,8,8
34,28,8,8
35,1,0,1
35,2,0,7
35,3,0,3
35,4,1,2
35,5,1,1
35,6,1,7
35,7,2,8
35,8,2,2
35,9,2,6
35,10,3,7
35,11,3,3
35,12,3,3
35,13,4,7
35,14,4,3
35,15,4,4
35,16,4,3
35,17,5,7
35,18,5,7
35,19,5,5
35,20,6,4
35,21,6,4
35,22,6,5
35,23,7,4
35,24,7,3
35,25,7,7
35,26,8,3
35,27,8,8
35,28,8,7
36,1,0,6
36,2,0,6
36,3,0,4
36,4,1,0
36,5,1,6
36,6,1,1
36,7,2,3
36,8,2,3
36,9,2,1
36,10,3,4
36,11,3,7
36,12,3,1
36,13,4,0
36,14,4,3
36,15,4,1
36,16,4,1
36,17,5,7
36,18,5,4
36,19,5,5
36,20,6,4
36,21,6,7
36,22,6,7
36,23,7,0
36,24,7,3
36,25,7,7
36,26,8,3
36,27,8,4
36,28,8,7
37,1,0,2
37,2,0,0
37,3,0,0
37,4,1,4
37,5,1,1
37,6,1,1
37,7,2,2
37,8,2,8
37,9,2,2
37,10,3,7
37,11,3,4
37,12,3,4
37,13,4,4
37,14,4,3
37,15,4,4
37,16,4,4
37,17,5,5
37,18,5,0
37,19,5,7
37,20,6,8
37,21,6,4
37,22,6,2
37,23,7,0
37,24,7,8
37,25,7,7
37,26,8,4
37,27,8,8
37,28,8,0
38,1,0,6
38,2,0,2
38,3,0,2
38,4,1,1
38,5,1,1
38,6,1,4
38,7,2,2
38,8,2,2
38,9,2,5
38,10,3,3
38,11,3,3
38,12,3,4
38,13,4,8
38,14,4,3
38,15,4,4
38,16,4,4
38,17,5,6
38,18,5,5
38,19,5,1
38,20,6,6
38,21,6,6
38,22,6,5
38,23,7,5
38,24,7,3
38,25,7,0
38,26,8,4
38,27,8,8
38,28,8,2
39,1,0,6
39,2,0,4
39,3,0,5
39,4,1,7
39,5,1,1
39,6,1,7
39,7,2,2
39,8,2,2
39,9,2,2
39,10,3,4
39,11,3,5
39,12,3,7
39,13,4,8
39,14,4,3
39,15,4,4
39,16,4,4
39,17,5,4
39,18,5,5
39,19,5,5
39,20,6,6
39,21,6,6
39,22,6,3
39,23,7,6
39,24,7,5
39,25,7,0
39,26,8,8
39,27,8,8
39,28,8,8
40,1,0,1
40,2,0,3
40,3,0,0
40,4,1,2
40,5,1,4
40,6,1,2
40,7,2,4
40,8,2,2
40,9,2,8
40,10,3,5
40,11,3,4
40,12,3,4
40,13,4,4
40,14,4,1
40,15,4,8
40,16,4,7
40,17,5,7
40,18,5,0
40,19,5,5
40,20,6,6
40,21,6,6
40,22,6,6
40,23,7,5
40,24,7,7
40,25,7,4
40,26,8,8
40,27,8,2
40,28,8,7
41,1,0,0
41,2,0,2
41,3,0,3
41,4,1,4
41,5,1,6
41,6,1,3
41,7,2,4
41,8,2,8
41,9,2,2
41,10,3,4
41,11,3,1
41,12,3,1
41,13,4,4
41,14,4,5
41,15,4,8
41,16,4,6
41,17,5,4
41,18,5,4
41,19,5,5
41,20,6,2
41,21,6,4
41,22,6,3
41,23,7,4
41,24,7,7
41,25,7,1
41,26,8,5
41,27,8,2
41,28,8,4
42,1,0,6
42,2,0,1
42,3,0,5
42,4,1,6
42,5,1,6
42,6,1,1
42,7,2,6
42,8,2,5
42,9,2,5
42,10,3,3
42,11,3,4
42,12,3,1
42,13,4,3
42,14,4,5
42,15,4,4
42,16,4,4
42,17,5,3
42,18,5,6
42,19,5,1
42,20,6,4
42,21,6,2
42,22,6,1
42,23,7,5
42,24,7,4
42,25,7,1
42,26,8,2
42,27,8,5
42,28,8,6
43,1,0,4
43,2,0,7
43,3,0,0
43,4,1,5
43,5,1,6
43,6,1,0
43,7,2,6
43,8,2,6
43,9,2,2
43,10,3,0
43,11,3,0
43,12,3,0
43,13,4,4
43,14,4,4
43,15,4,4
43,16,4,7
43,17,5,8
43,18,5,4
43,19,5,5
43,20,6,7
43,21,6,0
43,22,6,6
43,23,7,2
43,24,7,7
43,25,7,8
43,26,8,2
43,27,8,4
43,28,8,8
44,1,0,6
44,2,0,7
44,3,0,6
44,4,1,2
44,5,1,1
44,6,1,6
44,7,2,6
44,8,2,4
44,9,2,6
44,10,3,4
44,11,3,4
44,12,3,5
44,13,4,3
44,14,4,5
44,15,4,4
44,16,4,4
44,17,5,5
44,18,5,7
44,19,5,3
44,20,6,0
44,21,6,6
44,22,6,6
44,23,7,1
44,24,7,4
44,25,7,8
44,26,8,1
44,27,8,0
44,28,8,8
45,1,0,2
45,2,0,1
45,3,0,2
45,4,1,4
45,5,1,1
45,6,1,4
45,7,2,3
45,8,2,2
45,9,2,2
45,10,3,4
45,11,3,4
45,12,3,3
45,13,4,4
45,14,4,4
45,15,4,4
45,16,4,5
45,17,5,3
45,18,5,5
45,19,5,5
45,20,6,5
45,21,6,4
45,22,6,1
45,23,7,6
45,24,7,7
45,25,7,1
45,26,8,6
45,27,8,5
45,28,8,6
46,1,0,2
46,2,0,0
46,3,0,5
46,4,1,4
46,5,1,1
46,6,1,4
46,7,2,2
46,8,2,2
46,9,2,8
46,10,3,3
46,11,3,0
46,12,3,3
46,13,4,2
46,14,4,4
46,15,4,4
46,16,4,3
46,17,5,8
46,18,5,4
46,19,5,7
46,20,6,6
46,21,6,6
46,22,6,1
46,23,7,5
46,24,7,7
46,25,7,7
46,26,8,1
46,27,8,2
46,28,8,8
47,1,0,4
47,2,0,6
47,3,0,4
47,4,1,4
47,5,1,1
47,6,1,4
47,7,2,4
47,8,2,1
47,9,2,0
47,10,3,3
47,11,3,6
47,12,3,6
47,13,4,4
47,14,4,2
47,15,4,3
47,16,4,3
47,17,5,4
47,18,5,3
47,19,5,4
47,20,6,0
47,21,6,4
47,22,6,4
47,23,7,5
47,24,7,4
47,25,7,4
47,26,8,4
47,27,8,2
47,28,8,4
48,1,0,7
48,2,0,0
48,3,0,0
48,4,1,6
48,5,1,5
48,6,1,6
48,7,2,6
48,8,2,2
48,9,2,2
48,10,3,5
48,11,3,7
48,12,3,1
48,13,4,6
48,14,4,3
48,15,4,4
48,16,4,6
48,17,5,6
48,18,5,6
48,19,5,7
48,20,6,8
48,21,6,3
48,22,6,3
48,23,7,5
48,24,7,7
48,25,7,7
48,26,8,2
48,27,8,8
48,28,8,8
49,1,0,0
49,2,0,0
49,3,0,2
49,4,1,1
49,5,1,1
49,6,1,7
49,7,2,7
49,8,2,2
49,9,2,8
49,10,3,4
49,11,3,0
49,12,3,3
49,13,4,6
49,14,4,4
49,15,4,5
49,16,4,4
49,17,5,2
