subject_index,video_index,y_true,y_pred
0,1,0,2
0,2,0,0
0,3,3,0
0,4,1,3
0,5,2,3
0,6,1,2
0,7,2,4
0,8,2,0
0,9,1,6
0,10,3,5
0,11,3,4
0,12,0,4
0,13,6,6
0,14,6,6
0,15,5,0
0,16,7,6
0,17,4,4
0,18,7,3
0,19,4,4
0,20,5,0
0,21,5,6
0,22,5,6
0,23,7,6
0,24,7,6
0,25,6,6
0,26,7,3
0,27,6,6
0,28,7,6
1,1,0,7
1,2,3,6
1,3,3,1
1,4,1,3
1,5,1,1
1,6,1,6
1,7,2,6
1,8,4,6
1,9,0,7
1,10,3,6
1,11,3,7
1,12,3,3
1,13,0,4
1,14,7,1
1,15,7,6
1,16,3,6
1,17,4,4
1,18,4,6
1,19,4,4
1,20,4,5
1,21,5,7
1,22,5,4
1,23,4,4
1,24,6,7
1,25,7,2
1,26,7,5
1,27,6,6
1,28,6,4
2,1,0,2
2,2,0,6
2,3,0,0
2,4,1,1
2,5,2,6
2,6,1,6
2,7,2,0
2,8,2,4
2,9,2,0
2,10,3,6
2,11,3,3
2,12,3,7
2,13,7,1
2,14,7,7
2,15,6,7
2,16,1,4
2,17,3,4
2,18,4,7
2,19,4,4
2,20,5,7
2,21,5,5
2,22,5,6
2,23,6,5
2,24,7,4
2,25,7,7
2,26,7,7
2,27,7,7
2,28,7,4
3,1,0,0
3,2,3,6
3,3,3,0
3,4,1,1
3,5,1,6
3,6,1,3
3,7,2,3
3,8,2,1
3,9,2,3
3,10,2,6
3,11,3,3
3,12,3,3
3,14,7,2
3,15,6,6
3,16,6,1
3,17,4,4
3,18,4,7
3,19,4,4
3,20,6,1
3,21,7,5
3,22,6,1
3,23,6,4
3,24,6,6
3,25,6,6
3,26,7,6
3,27,7,4
3,28,7,1
4,1,0,5
4,2,0,1
4,3,3,7
4,4,1,1
4,5,2,4
4,6,2,1
4,7,2,2
4,8,2,4
4,9,2,3
4,10,2,3
4,11,3,7
4,12,3,0
4,17,4,4
4,18,6,2
4,19,4,2
4,20,7,4
4,21,7,5
4,22,5,2
4,23,7,4
4,24,6,1
4,25,4,4
4,26,7,7
4,27,7,4
4,28,7,6
5,1,0,6
5,2,0,4
5,3,0,4
5,4,1,1
5,5,2,0
5,6,1,0
5,7,2,1
5,8,2,0
5,9,1,1
5,10,6,4
5,11,3,3
5,12,7,6
5,13,7,7
5,14,7,1
5,15,7,6
5,16,7,7
5,17,4,2
5,18,4,3
5,19,4,1
5,20,5,1
5,21,5,4
5,22,5,4
5,23,6,4
5,24,6,5
5,25,5,3
5,26,7,6
5,27,7,1
5,28,6,1
6,1,0,6
6,2,0,4
6,3,1,3
6,4,1,0
6,5,1,3
6,6,1,1
6,7,2,6
6,8,2,7
6,9,1,1
6,10,3,7
6,11,3,7
6,12,3,6
6,13,6,7
6,14,4,3
6,15,7,1
6,16,3,1
6,17,4,6
6,18,4,6
6,19,4,0
6,20,5,4
6,21,5,3
6,22,5,1
6,23,6,6
6,24,6,7
6,25,6,7
6,26,7,6
6,27,7,7
6,28,7,3
7,1,0,5
7,2,0,6
7,3,1,1
7,4,2,4
7,5,1,6
7,6,1,7
7,7,2,0
7,8,0,1
7,9,0,5
7,10,0,4
7,11,3,3
7,12,3,1
7,13,7,0
7,14,6,6
7,15,7,7
7,16,6,0
7,17,4,5
7,18,4,2
7,19,4,3
7,20,5,6
7,21,5,6
7,22,5,4
7,23,6,5
7,24,6,7
7,25,5,5
7,26,6,5
7,27,7,5
7,28,5,4
8,1,0,2
8,2,3,6
8,3,0,7
8,4,1,3
8,5,1,6
8,6,2,1
8,7,2,6
8,8,2,2
8,9,2,2
8,10,2,4
8,11,7,5
8,12,3,6
8,13,7,6
8,14,7,1
8,15,7,7
8,16,6,6
8,17,4,4
8,18,4,0
8,19,4,4
8,20,4,7
8,21,5,7
8,22,5,7
8,23,7,7
8,24,6,6
8,25,6,6
8,26,7,4
8,27,1,4
8,28,7,7
9,1,3,4
9,2,3,6
9,3,3,6
9,4,1,1
9,5,2,6
9,6,2,1
9,7,2,0
9,8,2,7
9,9,2,0
9,10,3,6
9,11,3,3
9,12,3,7
9,13,7,6
9,14,3,6
9,15,7,7
9,16,7,6
9,17,4,1
9,18,6,4
9,19,4,4
9,20,5,6
9,21,3,4
9,22,5,6
9,23,6,6
9,24,7,6
9,25,2,3
9,26,3,0
9,27,7,7
9,28,7,7
10,1,0,0
10,2,0,3
10,3,0,5
10,4,1,4
10,5,1,1
10,6,1,5
10,7,2,0
10,8,2,1
10,9,1,7
10,10,0,2
10,11,3,3
10,12,2,3
10,13,0,7
10,14,0,2
10,15,3,2
10,16,4,3
10,17,4,7
10,18,4,4
10,19,4,7
10,20,6,6
10,21,5,3
10,22,5,6
10,23,6,6
10,24,7,4
10,25,6,7
10,26,7,6
10,27,7,6
10,28,6,7
11,1,0,1
11,2,0,1
11,3,0,2
11,4,1,1
11,5,1,1
11,6,1,1
11,7,2,6
11,8,2,0
11,9,2,2
11,10,2,5
11,11,3,7
11,12,3,2
11,13,3,2
11,14,3,7
11,15,3,2
11,16,7,6
11,17,4,0
11,18,4,2
11,19,4,5
11,20,5,4
11,21,5,0
11,22,5,6
11,23,6,6
11,24,6,5
11,25,6,6
11,26,7,7
11,27,7,4
11,28,7,6
12,1,0,0
12,2,0,0
12,3,1,2
12,4,1,5
12,5,1,1
12,6,1,0
12,7,2,6
12,8,2,4
12,9,2,7
12,10,3,7
12,11,3,7
12,12,3,1
12,13,0,5
12,14,4,5
12,15,7,4
12,16,0,4
12,17,4,4
12,18,4,4
12,19,4,6
12,20,5,6
12,21,5,7
12,22,5,1
12,23,4,7
12,24,6,1
12,25,4,3
12,26,7,6
12,27,7,3
12,28,7,7
13,1,0,1
13,2,0,2
13,3,0,7
13,4,1,5
13,5,1,5
13,6,1,2
13,7,2,1
13,8,2,3
13,9,1,5
13,10,3,6
13,11,3,3
13,12,3,6
13,13,3,6
13,14,7,3
13,15,7,7
13,16,0,7
13,17,4,7
13,18,4,7
13,19,4,2
13,20,5,5
13,21,5,6
13,22,6,6
13,23,7,5
13,24,5,6
13,25,6,7
13,26,7,0
13,27,1,1
13,28,7,6
14,1,0,4
14,2,0,1
14,3,0,0
14,4,1,2
14,5,1,1
14,6,1,2
14,7,2,3
14,8,2,2
14,9,2,4
14,10,3,4
14,11,3,7
14,12,3,7
14,15,6,7
14,17,4,4
14,18,4,5
14,19,4,6
14,20,5,5
14,21,5,7
14,22,5,4
14,23,6,6
14,24,6,6
14,25,6,3
14,26,7,7
14,27,7,7
14,28,6,7
15,1,0,0
15,2,0,5
15,3,0,1
15,4,1,1
15,5,1,1
15,6,0,5
15,7,1,1
15,8,0,0
15,9,0,2
15,10,1,5
15,11,3,3
15,12,1,6
15,13,3,6
15,14,2,3
15,15,6,3
15,16,3,3
15,17,4,6
15,18,4,6
15,19,4,4
15,20,4,2
15,21,5,7
15,22,5,2
15,23,7,1
15,24,6,4
15,25,7,1
15,26,7,7
15,27,1,1
15,28,7,1
16,1,1,5
16,2,0,2
16,3,0,0
16,4,1,0
16,5,1,1
16,6,1,7
16,7,2,7
16,8,1,1
16,9,2,2
16,10,2,1
16,11,3,4
16,12,2,0
16,13,0,7
16,14,2,7
16,15,3,1
16,16,2,6
16,17,4,6
16,18,4,4
16,19,4,6
16,20,5,5
16,21,5,3
16,22,1,0
16,23,6,1
16,24,6,1
16,25,6,6
16,26,7,1
16,27,7,7
16,28,6,3
17,1,0,0
17,2,0,6
17,3,0,2
17,4,1,1
17,5,1,7
17,6,1,7
17,7,2,0
17,8,2,0
17,9,2,0
17,10,3,7
17,11,3,0
17,12,3,1
17,17,4,4
17,18,6,1
17,19,4,1
17,20,5,7
17,21,5,5
17,22,5,7
17,23,6,3
17,24,6,7
17,25,5,7
17,26,7,2
17,27,7,7
17,28,7,7
18,1,0,6
18,2,0,0
18,3,0,4
18,4,1,1
18,5,1,1
18,8,4,2
18,9,4,4
18,12,7,0
18,15,6,6
18,17,4,1
18,18,4,6
18,19,4,6
18,20,5,1
18,21,5,5
18,22,6,5
18,23,6,1
18,24,6,2
18,26,6,3
18,27,6,2
18,28,6,4
19,1,0,7
19,2,0,2
19,3,0,5
19,4,1,3
19,5,2,3
19,6,1,5
19,7,2,4
19,8,1,7
19,9,2,2
19,10,3,4
19,11,3,7
19,12,0,1
19,13,0,7
19,14,3,3
19,15,3,7
19,16,3,1
19,17,4,1
19,18,4,1
19,19,4,4
19,20,7,5
19,21,7,7
19,22,1,2
19,23,7,2
19,24,4,1
19,25,6,7
19,26,7,7
19,27,7,7
19,28,6,7
20,1,0,4
20,2,3,7
20,3,0,7
20,4,1,2
20,5,1,1
20,6,2,1
20,7,2,2
20,8,2,7
20,9,2,2
20,10,2,2
20,11,3,3
20,12,0,1
20,13,0,1
20,14,7,4
20,15,0,6
20,16,3,3
20,17,4,4
20,18,4,4
20,19,6,3
20,20,4,7
20,21,5,7
20,22,5,7
20,23,6,4
20,24,7,0
20,25,4,4
20,26,7,0
20,27,7,7
20,28,7,7
21,1,0,2
21,2,0,2
21,3,0,3
21,4,1,7
21,5,1,7
21,6,1,3
21,7,2,2
21,8,2,2
21,9,2,0
21,10,3,4
21,11,3,4
21,12,3,2
21,13,7,7
21,14,7,2
21,15,7,7
21,16,7,1
21,17,4,6
21,18,4,1
21,19,4,4
21,20,6,6
21,21,5,0
21,22,6,1
21,23,0,5
21,24,6,6
21,25,7,0
21,26,7,3
21,27,1,7
21,28,7,2
22,1,1,3
22,2,1,1
22,3,0,5
22,4,1,1
22,5,1,4
22,6,2,1
22,7,1,1
22,8,1,4
22,9,1,3
22,10,2,1
22,11,1,3
22,12,2,1
22,13,6,7
22,14,6,2
22,15,6,7
22,16,7,1
22,17,4,5
22,18,4,5
22,19,4,7
22,20,5,7
22,21,5,4
22,22,5,5
22,23,5,1
22,24,6,1
22,25,5,5
22,26,6,1
22,27,7,1
22,28,6,1
23,1,0,1
23,2,0,0
23,3,0,3
23,4,1,5
23,5,2,7
23,6,1,1
23,7,2,1
23,8,2,7
23,9,2,2
23,10,3,3
23,11,7,7
23,12,3,7
23,13,3,3
23,14,3,3
23,15,7,3
23,16,3,7
23,17,4,7
23,18,4,2
23,19,0,6
23,20,4,4
23,21,7,1
23,22,6,5
23,23,6,5
23,24,6,1
23,25,6,3
23,26,6,3
23,27,7,1
23,28,7,3
24,1,0,7
24,2,0,1
24,3,0,6
24,4,1,7
24,5,1,6
24,6,1,6
24,7,1,5
24,8,1,4
24,9,2,6
24,10,1,6
24,11,3,1
24,12,3,5
24,14,7,1
24,15,7,2
24,16,6,4
24,17,4,6
24,18,4,1
24,19,4,1
24,20,4,5
24,21,5,1
24,22,5,7
24,23,6,0
24,24,6,6
24,25,6,5
24,26,7,6
24,27,6,3
24,28,7,1
25,1,3,0
25,2,2,2
25,3,2,0
25,4,1,2
25,5,1,1
25,6,1,1
25,7,2,3
25,8,2,6
25,9,2,4
25,10,1,1
25,11,3,1
25,12,3,3
25,14,2,3
25,17,4,7
25,18,6,4
25,19,4,4
25,20,5,7
25,21,3,3
25,22,1,1
25,23,6,6
25,24,6,6
25,25,6,2
25,26,7,4
25,27,6,6
25,28,6,7
26,1,0,6
26,2,0,3
26,3,0,5
26,4,1,6
26,5,1,7
26,6,1,7
26,7,2,2
26,8,2,3
26,9,2,6
26,10,0,7
26,11,3,0
26,12,3,1
26,13,4,7
26,14,3,1
26,15,3,3
26,17,4,0
26,18,4,2
26,19,4,7
26,20,4,4
26,21,5,3
26,22,6,6
26,23,6,3
26,24,7,3
26,25,6,6
26,26,7,4
26,27,4,2
26,28,7,1
27,1,0,7
27,2,0,6
27,3,0,0
27,4,1,2
27,5,1,1
27,6,1,2
27,7,2,0
27,8,2,4
27,9,1,7
27,10,3,4
27,11,3,6
27,12,3,2
27,13,6,7
27,15,6,0
27,17,4,6
27,18,4,1
27,19,4,4
27,20,5,0
27,21,5,3
27,22,5,7
27,23,6,0
27,24,6,6
27,25,6,6
27,26,7,7
27,27,4,4
27,28,7,2
28,1,1,3
28,2,0,1
28,3,0,7
28,4,1,1
28,5,4,1
28,6,6,1
28,7,2,3
28,8,6,4
28,9,4,4
28,11,3,2
28,12,3,2
28,17,4,7
28,18,4,4
28,19,4,4
28,20,4,4
28,21,5,2
28,22,5,1
28,23,6,1
28,24,4,3
28,26,7,1
28,27,6,7
28,28,6,7
29,1,0,6
29,2,0,1
29,3,1,1
29,4,1,7
29,5,1,1
29,6,2,7
29,7,2,4
29,8,1,1
29,9,2,2
29,10,7,1
29,11,3,5
29,12,3,6
29,13,6,7
29,14,3,5
29,15,6,6
29,16,2,1
29,17,4,4
29,18,4,1
29,19,4,6
29,20,4,6
29,21,5,4
29,22,5,6
29,23,4,7
29,24,6,6
29,25,5,3
29,26,5,6
29,27,6,1
29,28,6,4
30,1,1,1
30,2,7,6
30,3,1,1
30,4,4,1
30,5,7,1
30,6,2,1
30,7,7,2
30,8,2,2
30,9,1,1
30,10,7,3
30,11,3,1
30,12,3,4
30,13,7,3
30,14,6,7
30,15,7,7
30,16,7,6
30,17,4,4
30,18,6,0
30,19,6,4
30,20,5,6
30,21,5,4
30,22,7,0
30,23,6,1
30,24,6,6
30,25,6,6
30,26,6,7
30,27,6,7
30,28,6,7
31,1,0,0
31,2,0,3
31,3,0,4
31,4,1,1
31,5,1,2
31,6,1,3
31,7,2,2
31,8,2,2
31,9,1,0
31,10,3,1
31,11,3,7
31,12,3,3
31,13,7,0
31,14,7,1
31,15,7,7
31,16,1,4
31,17,4,4
31,18,4,4
31,19,4,4
31,20,4,0
31,21,5,7
31,22,5,5
31,23,7,3
31,24,7,1
31,25,1,2
31,26,7,2
31,27,7,3
31,28,7,7
32,1,0,7
32,2,3,3
32,3,0,3
32,4,1,1
32,5,1,3
32,6,1,1
32,7,2,3
32,8,2,3
32,9,2,6
32,10,2,3
32,12,3,3
32,13,4,7
32,15,7,6
32,16,6,7
32,17,4,2
32,18,4,0
32,19,4,1
32,20,4,6
32,21,5,3
32,22,5,5
32,23,7,5
32,24,6,2
32,25,6,3
32,26,7,5
32,27,7,3
32,28,6,6
33,1,0,0
33,2,0,0
33,3,0,4
33,4,1,1
33,5,2,2
33,6,1,1
33,7,2,2
33,8,2,2
33,9,1,2
33,10,3,6
33,11,3,7
33,12,3,3
33,13,3,3
33,14,3,7
33,15,3,5
33,16,3,7
33,17,6,4
33,18,2,6
33,19,4,6
33,20,5,0
33,21,5,5
33,22,5,1
33,23,7,1
33,24,6,3
33,25,7,3
33,26,7,0
33,27,7,5
33,28,7,7
34,1,0,2
34,2,0,0
34,3,0,3
34,4,1,4
34,5,1,4
34,6,1,1
34,7,2,5
34,8,2,2
34,9,2,4
34,10,3,3
34,11,7,1
34,12,3,1
34,13,0,1
34,14,2,3
34,15,6,6
34,16,6,4
34,17,4,7
34,18,4,0
34,19,4,4
34,20,5,6
34,21,5,3
34,22,6,4
34,23,6,6
34,24,6,2
34,25,6,3
34,26,7,7
34,27,7,7
34,28,7,7
35,1,0,1
35,2,0,6
35,3,0,3
35,4,1,2
35,5,1,1
35,6,1,0
35,7,2,4
35,8,2,1
35,9,1,3
35,10,3,6
35,11,3,3
35,12,3,7
35,13,7,3
35,14,7,3
35,15,7,6
35,16,6,3
35,17,4,6
35,18,4,1
35,19,4,6
35,20,5,7
35,21,5,6
35,22,5,1
35,23,6,2
35,24,6,3
35,25,6,3
35,26,7,7
35,27,7,7
35,28,7,7
36,1,0,4
36,2,0,5
36,3,0,1
36,4,1,1
36,5,1,3
36,6,1,6
36,7,2,6
36,8,2,3
36,9,2,1
36,10,3,1
36,11,3,0
36,12,3,1
36,13,3,0
36,14,2,1
36,15,7,1
36,16,1,3
36,17,4,6
36,18,4,0
36,19,4,4
36,20,5,3
36,21,5,2
36,22,5,6
36,23,6,0
36,24,6,0
36,25,6,6
36,26,3,6
36,27,6,3
36,28,6,0
37,1,0,2
37,2,0,5
37,3,0,0
37,4,1,2
37,5,6,1
37,6,1,1
37,7,3,7
37,8,2,7
37,9,4,2
37,10,3,6
37,11,4,6
37,12,3,7
37,13,1,6
37,14,7,7
37,15,6,1
37,16,4,6
37,17,4,7
37,18,4,0
37,19,4,7
37,20,5,2
37,21,6,7
37,22,5,4
37,23,6,4
37,24,4,6
37,25,7,7
37,26,7,1
37,27,4,7
37,28,7,7
38,1,0,2
38,2,3,1
38,3,0,0
38,4,1,1
38,5,1,1
38,6,1,3
38,7,2,0
38,8,2,7
38,9,1,7
38,10,1,4
38,11,3,7
38,12,3,3
38,13,7,6
38,14,6,2
38,15,4,7
38,16,3,1
38,17,2,6
38,18,4,4
38,19,4,7
38,20,4,5
38,21,0,3
38,22,6,4
38,23,6,4
38,24,3,3
38,25,3,3
38,26,7,7
38,27,7,7
38,28,4,7
39,1,0,0
39,2,0,2
39,3,0,4
39,4,1,6
39,5,1,2
39,6,1,4
39,7,2,4
39,8,2,2
39,9,2,7
39,10,2,6
39,11,3,7
39,12,3,3
39,17,4,7
39,18,4,4
39,19,4,4
39,20,5,1
39,21,5,5
39,22,1,2
39,23,6,5
39,24,6,6
39,25,6,2
39,26,7,7
39,27,6,2
39,28,7,7
40,1,0,0
40,2,3,3
40,3,1,0
40,4,1,1
40,5,1,0
40,6,1,1
40,7,2,7
40,8,2,2
40,9,1,7
40,10,3,6
40,11,3,3
40,12,3,3
40,14,6,2
40,15,6,7
40,17,4,4
40,18,4,2
40,19,4,4
40,20,4,1
40,21,1,3
40,22,5,5
40,23,6,7
40,24,6,4
40,25,6,6
40,26,7,7
40,27,6,7
40,28,7,7
41,1,3,0
41,2,3,3
41,3,1,4
41,4,1,3
41,5,1,7
41,6,1,3
41,7,2,1
41,8,2,7
41,9,1,7
41,10,3,1
41,11,3,3
41,12,1,6
41,17,4,4
41,18,4,2
41,19,4,4
41,20,5,4
41,21,5,5
41,22,5,1
41,23,7,3
41,24,6,6
41,25,6,3
41,26,7,7
41,27,7,7
41,28,7,3
42,1,0,5
42,2,0,6
42,3,0,4
42,4,1,6
42,5,1,5
42,6,1,4
42,7,2,5
42,8,2,4
42,9,4,4
42,10,3,1
42,11,3,6
42,12,3,2
42,13,3,2
42,14,3,2
42,15,3,7
42,16,6,0
42,17,4,1
42,18,4,5
42,19,4,1
42,20,5,1
42,21,5,1
42,22,5,2
42,23,2,4
42,24,6,7
42,25,2,0
42,26,6,0
42,27,5,4
42,28,6,5
43,1,0,7
43,2,1,7
43,3,0,0
43,4,1,0
43,5,2,3
43,6,2,1
43,7,0,5
43,8,2,5
43,9,1,0
43,10,3,2
43,11,3,3
43,12,3,1
43,13,7,7
43,14,6,6
43,15,7,6
43,16,1,0
43,17,4,6
43,18,4,3
43,19,6,4
43,20,5,3
43,21,5,2
43,22,5,7
43,23,7,7
43,24,6,5
43,25,5,7
43,26,7,0
43,27,7,7
43,28,7,7
44,1,0,5
44,2,1,0
44,3,0,0
44,4,1,2
44,5,1,1
44,6,1,7
44,7,2,1
44,8,2,6
44,9,1,1
44,10,0,7
44,11,3,7
44,12,2,4
44,13,7,1
44,14,6,2
44,15,3,7
44,16,3,2
44,17,4,4
44,18,7,2
44,19,4,3
44,20,4,4
44,21,0,5
44,22,6,0
44,23,7,7
44,24,6,7
44,25,4,7
44,26,4,3
44,27,0,0
44,28,5,7
45,1,0,0
45,2,0,3
45,3,0,3
45,4,1,1
45,5,1,1
45,6,1,1
45,7,2,1
45,8,2,2
45,9,2,0
45,10,2,5
45,11,2,3
45,12,3,3
45,14,7,7
45,15,7,2
45,16,7,3
45,17,6,4
45,18,6,2
45,19,4,4
45,20,5,4
45,21,5,3
45,22,1,2
45,23,7,0
45,24,7,7
45,25,6,4
45,26,7,6
45,27,4,3
45,28,7,7
46,1,0,2
46,2,0,1
46,3,0,2
46,4,1,3
46,5,1,1
46,6,1,6
46,7,2,1
46,8,2,2
46,9,2,1
46,10,3,3
46,11,3,7
46,12,3,7
46,14,7,1
46,15,7,7
46,16,6,2
46,17,4,4
46,18,4,1
46,19,4,3
46,20,5,5
46,21,5,5
46,22,5,1
46,23,6,6
46,24,6,4
46,25,6,7
46,26,7,1
46,27,7,4
46,28,7,7
47,1,1,4
47,2,3,3
47,3,0,1
47,4,1,6
47,5,2,3
47,6,1,3
47,7,2,4
47,8,1,6
47,9,1,4
47,10,1,4
47,11,3,1
47,12,1,1
47,15,1,3
47,17,6,4
47,18,4,3
47,19,1,6
47,20,6,2
47,21,3,1
47,22,3,6
47,23,3,3
47,24,6,7
47,25,6,1
47,26,7,1
47,27,6,2
47,28,7,3
48,1,0,7
48,2,0,4
48,3,0,1
48,4,1,5
48,5,1,2
48,6,1,4
48,7,2,5
48,8,2,0
48,9,2,2
48,10,3,2
48,11,3,7
48,12,3,1
48,13,1,5
48,17,4,6
48,18,4,7
48,19,4,4
48,20,5,4
48,21,5,3
48,22,5,6
48,23,7,2
48,24,6,3
48,25,6,7
48,26,7,7
48,27,4,7
48,28,7,7
49,1,0,0
49,2,0,1
49,3,0,7
49,4,1,7
49,5,2,1
49,6,2,4
49,7,2,1
49,8,2,4
49,9,2,2
49,10,3,1
49,11,3,4
49,12,3,3
49,13,3,3
49,14,7,3
49,15,7,4
49,16,7,2
49,17,4,2
49,18,4,4
49,19,4,4
49,20,5,6
49,21,5,5
49,22,6,5
49,23,6,6
49,24,6,6
49,25,6,7
49,26,7,1
49,27,7,7
49,28,7,7
50,1,0,6
50,2,0,1
50,3,0,6
50,4,1,1
50,5,1,1
50,6,1,1
50,7,2,2
50,8,2,2
50,9,2,7
50,10,3,3
50,11,3,2
50,12,3,2
50,13,7,7
50,14,0,3
50,15,6,6
50,16,3,3
50,17,4,3
50,18,4,2
50,19,4,4
50,20,5,4
50,21,5,3
50,22,6,1
50,23,6,3
50,24,6,1
50,25,4,4
50,26,7,6
50,27,7,2
50,28,7,6
51,1,0,4
51,2,0,4
51,3,1,6
51,4,1,6
51,5,1,7
51,6,1,7
51,7,2,0
51,8,2,4
51,9,2,0
51,10,3,6
51,11,3,3
51,12,3,5
51,13,7,3
51,14,7,6
