subject_index,video_index,y_true,y_pred
0,1,7,7
0,2,0,4
0,3,4,7
0,4,1,7
0,5,1,7
0,6,4,7
0,7,4,4
0,8,0,4
0,9,4,4
0,10,2,4
0,11,3,3
0,12,3,7
0,13,6,7
0,14,3,7
0,15,3,7
0,16,1,7
0,17,4,4
0,18,4,7
0,19,4,4
0,20,6,7
0,21,3,6
0,22,7,7
0,23,7,7
0,24,0,7
0,25,7,7
0,26,7,4
0,27,7,3
0,28,6,7
1,1,0,7
1,2,3,4
1,3,0,7
1,4,1,7
1,5,1,4
1,6,2,4
1,7,2,7
1,8,3,3
1,9,2,4
1,10,3,7
1,11,3,4
1,12,3,3
1,13,6,4
1,14,2,6
1,15,3,3
1,16,0,3
1,17,5,4
1,18,6,4
1,19,4,5
1,20,5,7
1,21,5,5
1,22,5,7
1,23,6,7
1,24,6,7
1,25,7,7
1,26,3,6
1,27,7,4
1,28,7,3
2,1,3,1
2,2,0,7
2,3,0,5
2,4,1,3
2,5,1,1
2,6,1,3
2,7,4,7
2,8,3,7
2,9,2,3
2,10,7,7
2,11,3,3
2,12,3,7
2,13,7,7
2,15,7,3
2,17,4,4
2,18,7,4
2,19,4,6
2,20,5,7
2,21,5,7
2,22,7,7
2,23,7,4
2,24,7,7
2,25,7,4
2,26,7,7
2,27,7,7
2,28,7,4
3,1,7,7
3,2,6,4
3,3,6,1
3,4,1,7
3,5,1,7
3,7,2,1
3,8,0,4
3,9,2,4
3,10,7,4
3,11,7,7
3,12,3,7
3,13,7,7
3,14,6,3
3,15,7,7
3,16,7,7
3,17,4,6
3,18,4,7
3,19,1,4
3,20,5,7
3,21,5,7
3,22,5,7
3,23,5,7
3,24,6,3
3,25,6,4
3,26,7,4
3,27,7,7
3,28,7,7
4,1,0,4
4,2,0,7
4,3,0,7
4,4,1,3
4,5,1,7
4,6,1,4
4,7,2,7
4,8,2,7
4,9,2,4
4,10,3,7
4,11,3,0
4,12,3,7
4,13,6,7
4,14,4,7
4,15,7,7
4,16,5,7
4,17,4,3
4,18,4,5
4,19,4,7
4,20,5,5
4,21,5,7
4,22,5,4
4,23,6,1
4,24,6,7
4,25,6,4
4,26,3,4
4,27,7,7
4,28,7,4
5,1,0,4
5,2,0,3
5,3,0,4
5,4,1,5
5,5,1,5
5,6,1,3
5,7,2,3
5,8,2,4
5,9,2,7
5,10,3,4
5,11,3,4
5,12,5,4
5,13,6,7
5,14,4,7
5,15,6,7
5,16,3,4
5,17,4,7
5,18,6,3
5,19,6,4
5,20,5,7
5,21,3,4
5,22,5,4
5,23,6,5
5,24,6,7
5,25,6,4
5,26,7,4
5,27,7,4
5,28,7,3
6,1,6,7
6,2,3,4
6,3,6,7
6,4,7,4
6,5,1,3
6,6,4,7
6,7,4,7
6,8,7,7
6,9,4,4
6,10,7,4
6,11,5,7
6,12,7,7
6,13,6,4
6,14,5,7
6,15,6,7
6,16,7,1
6,17,6,3
6,18,4,4
6,19,6,4
6,20,5,4
6,21,5,7
6,22,3,3
6,23,6,7
6,24,7,4
6,25,7,7
6,26,5,4
6,27,7,4
6,28,7,7
7,1,2,3
