subject_index,video_index,y_true,y_pred
0,1,0,3
0,2,0,3
0,3,0,5
0,4,1,8
0,5,1,5
0,6,1,7
0,7,2,5
0,8,2,3
0,9,2,4
0,10,3,5
0,11,3,8
0,12,3,5
0,13,4,5
0,14,4,5
0,15,4,8
0,16,4,8
0,17,5,4
0,18,5,8
0,19,5,5
0,20,6,4
0,21,6,4
0,22,6,4
0,23,7,0
0,24,7,4
0,25,7,3
0,26,8,1
0,27,8,3
0,28,8,8
1,1,0,4
1,2,0,1
1,3,0,3
1,4,1,4
1,5,1,1
1,6,1,8
1,7,2,4
1,8,2,6
1,9,2,8
1,10,3,4
1,11,3,3
1,12,3,6
1,13,4,8
1,14,4,7
1,15,4,5
1,16,4,8
1,17,5,2
1,18,5,7
1,19,5,0
1,20,6,6
1,21,6,3
1,22,6,3
1,23,7,4
1,24,7,3
1,25,7,5
1,26,8,5
1,27,8,4
1,28,8,7
2,1,0,6
2,2,0,8
2,3,0,7
2,4,1,7
2,5,1,5
2,6,1,6
2,7,2,4
2,8,2,6
2,9,2,0
2,10,3,6
2,11,3,6
2,12,3,3
2,13,4,7
2,14,4,3
2,15,4,7
2,16,4,4
2,17,5,8
2,18,5,8
2,19,5,8
2,20,6,0
2,21,6,4
2,22,6,4
2,23,7,3
2,24,7,7
2,25,7,4
2,26,8,4
2,27,8,4
2,28,8,8
3,1,0,3
3,2,0,4
3,3,0,4
3,4,1,0
3,5,1,2
3,6,1,7
3,7,2,8
3,8,2,1
3,9,2,3
3,10,3,4
3,11,3,8
3,12,3,4
3,13,4,3
3,14,4,0
3,15,4,2
3,16,4,8
3,17,5,0
3,18,5,4
3,19,5,4
3,20,6,4
3,21,6,8
3,22,6,7
3,23,7,8
3,24,7,5
3,25,7,8
3,26,8,5
3,27,8,4
3,28,8,4
4,1,0,7
4,2,0,4
4,3,0,4
4,4,1,4
4,5,1,3
4,6,1,3
4,7,2,5
4,8,2,8
4,9,2,5
4,10,3,4
4,11,3,4
4,12,3,2
4,13,4,4
4,14,4,3
4,15,4,5
4,16,4,8
4,17,5,5
4,18,5,4
4,19,5,4
4,20,6,0
4,21,6,0
4,22,6,6
4,23,7,5
4,24,7,4
4,25,7,2
4,26,8,4
4,27,8,4
4,28,8,4
5,1,0,6
5,2,0,5
5,3,0,5
5,4,1,4
5,5,1,5
5,6,1,6
5,7,2,0
5,8,2,3
5,9,2,5
5,10,3,8
5,11,3,4
5,12,3,3
5,13,4,7
5,14,4,4
5,15,4,4
5,16,4,1
5,17,5,1
5,18,5,5
5,19,5,1
5,20,6,1
5,21,6,6
5,22,6,6
5,23,7,6
5,24,7,4
5,25,7,4
5,26,8,4
5,27,8,4
5,28,8,7
6,1,0,3
6,2,0,1
6,3,0,1
6,4,1,4
6,5,1,8
6,6,1,1
6,7,2,7
6,8,2,4
6,9,2,4
6,10,3,4
6,11,3,4
6,12,3,4
6,13,4,4
6,14,4,4
6,15,4,8
6,16,4,5
6,17,5,3
6,18,5,3
6,19,5,5
6,20,6,3
6,21,6,4
6,22,6,6
6,23,7,4
6,24,7,7
6,25,7,3
6,26,8,1
6,27,8,3
6,28,8,7
7,1,0,5
7,2,0,3
7,3,0,3
7,4,1,3
7,5,1,2
7,6,1,6
7,7,2,1
7,8,2,4
7,9,2,4
7,10,3,3
7,11,3,8
7,12,3,3
7,13,4,2
7,14,4,3
7,15,4,3
7,16,4,4
7,17,5,5
7,18,5,4
7,19,5,5
7,20,6,4
7,21,6,3
7,22,6,4
7,23,7,8
7,24,7,4
7,25,7,3
7,26,8,3
7,27,8,8
7,28,8,3
8,1,0,6
8,2,0,6
8,3,0,5
8,4,1,1
8,5,1,4
8,6,1,7
8,7,2,2
8,8,2,3
8,9,2,3
8,10,3,4
8,11,3,4
8,12,3,2
8,13,4,4
8,14,4,5
8,15,4,4
8,16,4,6
8,17,5,5
8,18,5,7
8,19,5,8
8,20,6,5
8,21,6,4
8,22,6,4
8,23,7,5
8,24,7,8
8,25,7,5
8,26,8,3
8,27,8,5
8,28,8,4
9,1,0,6
9,2,0,4
9,3,0,8
9,4,1,8
9,5,1,5
9,6,1,5
9,7,2,3
9,8,2,3
9,9,2,3
9,10,3,8
9,11,3,3
9,12,3,0
9,13,4,4
9,14,4,4
9,15,4,1
9,16,4,4
9,17,5,4
9,18,5,7
9,19,5,6
9,20,6,6
9,21,6,1
9,22,6,4
9,23,7,4
9,24,7,6
9,25,7,4
9,26,8,6
9,27,8,1
9,28,8,0
10,1,0,6
10,2,0,3
10,3,0,8
10,4,1,7
10,5,1,4
10,6,1,8
10,7,2,4
10,8,2,3
10,9,2,5
10,10,3,2
10,11,3,4
10,12,3,5
10,13,4,4
10,14,4,5
10,15,4,4
10,16,4,7
10,17,5,5
10,18,5,1
10,19,5,5
10,20,6,8
10,21,6,3
10,22,6,1
10,23,7,6
10,24,7,4
10,25,7,7
10,26,8,6
10,27,8,4
10,28,8,4
11,1,0,3
11,2,0,4
11,3,0,5
11,4,1,5
11,5,1,8
11,6,1,3
11,7,2,5
11,8,2,3
11,9,2,4
11,10,3,8
11,11,3,3
11,12,3,8
11,13,4,7
11,14,4,4
11,15,4,4
11,16,4,8
11,17,5,5
11,18,5,5
11,19,5,5
11,20,6,8
11,21,6,5
11,22,6,3
11,23,7,5
11,24,7,6
11,25,7,3
11,26,8,3
11,27,8,8
11,28,8,4
12,1,0,3
12,2,0,7
12,3,0,5
12,4,1,8
12,5,1,4
12,6,1,4
12,7,2,7
12,8,2,3
12,9,2,8
12,10,3,5
12,11,3,4
12,12,3,7
12,13,4,1
12,14,4,7
12,15,4,2
12,16,4,3
12,17,5,5
12,18,5,5
12,19,5,5
12,20,6,6
12,21,6,4
12,22,6,7
12,23,7,4
12,24,7,4
12,25,7,5
12,26,8,7
12,27,8,7
12,28,8,7
13,1,0,4
13,2,0,4
13,3,0,4
13,4,1,5
13,5,1,0
13,6,1,8
13,7,2,3
13,8,2,6
13,9,2,1
13,10,3,4
13,11,3,2
13,12,3,4
13,13,4,8
13,14,4,1
13,15,4,4
13,16,4,3
13,17,5,1
13,18,5,8
13,19,5,5
13,20,6,3
13,21,6,8
13,22,6,4
13,23,7,5
13,24,7,4
13,25,7,6
13,26,8,6
13,27,8,4
13,28,8,7
14,1,0,5
14,2,0,2
14,3,0,2
14,4,1,4
14,5,1,3
14,6,1,2
14,7,2,8
14,8,2,5
14,9,2,2
14,10,3,4
14,11,3,5
14,12,3,6
14,13,4,4
14,14,4,8
14,15,4,8
14,16,4,4
14,17,5,8
14,18,5,8
14,19,5,8
14,20,6,3
14,21,6,3
14,22,6,4
14,23,7,8
14,24,7,6
14,25,7,8
14,26,8,3
14,27,8,0
14,28,8,4
15,1,0,3
15,2,0,6
15,3,0,5
15,4,1,4
15,5,1,5
15,6,1,6
15,7,2,5
15,8,2,6
15,9,2,8
15,10,3,3
15,11,3,3
15,12,3,1
15,13,4,4
15,14,4,3
15,15,4,5
15,16,4,6
15,17,5,2
15,18,5,5
15,19,5,3
15,20,6,4
15,21,6,3
15,22,6,7
15,23,7,4
15,24,7,5
15,25,7,5
15,26,8,3
15,27,8,8
15,28,8,5
16,1,0,1
16,2,0,3
16,3,0,6
16,4,1,7
16,5,1,4
16,6,1,4
16,7,2,4
16,8,2,4
16,9,2,3
16,10,3,4
16,11,3,8
16,12,3,4
16,13,4,4
16,14,4,4
16,15,4,8
16,16,4,4
16,17,5,4
16,18,5,4
16,19,5,3
16,20,6,8
16,21,6,4
16,22,6,4
16,23,7,8
16,24,7,3
16,25,7,4
16,26,8,7
16,27,8,8
16,28,8,4
17,1,0,3
17,2,0,4
17,3,0,5
17,4,1,8
17,5,1,8
17,6,1,8
17,7,2,3
17,8,2,2
17,9,2,3
17,10,3,7
17,11,3,8
17,12,3,5
17,13,4,4
17,14,4,8
17,15,4,8
17,16,4,8
17,17,5,5
17,18,5,7
17,19,5,5
17,20,6,3
17,21,6,7
17,22,6,8
17,23,7,1
17,24,7,4
17,25,7,7
17,26,8,4
17,27,8,4
17,28,8,7
18,1,0,4
18,2,0,3
18,3,0,5
18,4,1,8
18,5,1,4
18,6,1,8
18,7,2,5
18,8,2,8
18,9,2,8
18,10,3,6
18,11,3,8
18,12,3,6
18,13,4,8
18,14,4,5
18,15,4,0
18,16,4,8
18,17,5,4
18,18,5,4
18,19,5,4
18,20,6,8
18,21,6,8
18,22,6,8
18,23,7,8
18,24,7,4
18,25,7,6
18,26,8,8
18,27,8,8
18,28,8,8
19,1,0,8
19,2,0,8
19,3,0,4
19,4,1,7
19,5,1,5
19,6,1,7
19,7,2,4
19,8,2,4
19,9,2,8
19,10,3,8
19,11,3,3
19,12,3,0
19,13,4,1
19,14,4,5
19,15,4,4
19,16,4,6
19,17,5,5
19,18,5,5
19,19,5,7
19,20,6,7
19,21,6,4
19,22,6,4
19,23,7,7
19,24,7,8
19,25,7,3
19,26,8,3
19,27,8,3
19,28,8,0
20,1,0,4
20,2,0,7
20,3,0,4
20,4,1,7
20,5,1,2
20,6,1,4
20,7,2,7
20,8,2,8
20,9,2,4
20,10,3,8
20,11,3,4
20,12,3,3
20,13,4,6
20,14,4,4
20,15,4,4
20,16,4,7
20,17,5,5
20,18,5,7
20,19,5,0
20,20,6,8
20,21,6,4
20,22,6,6
20,23,7,8
20,24,7,6
20,25,7,8
20,26,8,8
20,27,8,8
20,28,8,4
21,1,0,8
21,2,0,3
21,3,0,3
21,4,1,5
21,5,1,0
21,6,1,7
21,7,2,5
21,8,2,6
21,9,2,8
21,10,3,6
21,11,3,8
21,12,3,4
21,13,4,4
21,14,4,8
21,15,4,4
21,16,4,8
21,17,5,5
21,18,5,5
21,19,5,5
21,20,6,6
21,21,6,3
21,22,6,5
21,23,7,5
21,24,7,3
21,25,7,8
21,26,8,3
21,27,8,6
21,28,8,4
22,1,0,8
22,2,0,0
22,3,0,8
22,4,1,4
22,5,1,8
22,6,1,6
22,7,2,7
22,8,2,4
22,9,2,4
22,10,3,7
22,11,3,5
22,12,3,5
22,13,4,7
22,14,4,6
22,15,4,7
22,16,4,8
22,17,5,5
22,18,5,5
22,19,5,0
22,20,6,7
22,21,6,6
22,22,6,8
22,23,7,7
22,24,7,5
22,25,7,0
22,26,8,8
22,27,8,2
22,28,8,5
23,1,0,4
23,2,0,8
23,3,0,6
23,4,1,4
23,5,1,4
23,6,1,1
23,7,2,8
23,8,2,4
23,9,2,5
23,10,3,0
23,11,3,3
23,12,3,3
23,13,4,7
23,14,4,7
23,15,4,4
23,16,4,4
23,17,5,5
23,18,5,5
23,19,5,0
23,20,6,4
23,21,6,3
23,22,6,8
23,23,7,7
23,24,7,4
23,25,7,7
23,26,8,3
23,27,8,8
23,28,8,4
24,1,0,8
24,2,0,0
24,3,0,4
24,4,1,2
24,5,1,8
24,6,1,3
24,7,2,3
24,8,2,0
24,9,2,3
24,10,3,6
24,11,3,6
24,12,3,3
24,13,4,1
24,14,4,4
24,15,4,4
24,16,4,1
24,17,5,5
24,18,5,8
24,19,5,4
24,20,6,4
24,21,6,1
24,22,6,3
24,23,7,3
24,24,7,8
24,25,7,6
24,26,8,6
24,27,8,6
24,28,8,6
25,1,0,6
25,2,0,0
25,3,0,0
25,4,1,8
25,5,1,4
25,6,1,6
25,7,2,6
25,8,2,4
25,9,2,7
25,10,3,7
25,11,3,6
25,12,3,4
25,13,4,4
25,14,4,4
25,15,4,6
25,16,4,6
25,17,5,5
25,18,5,8
25,19,5,4
25,20,6,8
25,21,6,7
25,22,6,8
25,23,7,1
25,24,7,0
25,25,7,5
25,26,8,3
25,27,8,8
25,28,8,5
26,1,0,7
26,2,0,6
26,3,0,3
26,4,1,6
26,5,1,5
26,6,1,5
26,7,2,6
26,8,2,4
26,9,2,6
26,10,3,3
26,11,3,3
26,12,3,4
26,13,4,1
26,14,4,1
26,15,4,6
26,16,4,4
26,17,5,5
26,18,5,0
26,19,5,1
26,20,6,5
26,21,6,5
26,22,6,8
26,23,7,4
26,24,7,1
26,25,7,5
26,26,8,5
26,27,8,5
26,28,8,3
27,1,0,8
27,2,0,4
27,3,0,3
27,4,1,5
27,5,1,0
27,6,1,6
27,7,2,4
27,8,2,2
27,9,2,0
27,10,3,0
27,11,3,0
27,12,3,6
27,13,4,5
27,14,4,4
27,15,4,0
27,16,4,6
27,17,5,5
27,18,5,5
27,19,5,4
27,20,6,6
27,21,6,6
27,22,6,8
27,23,7,7
27,24,7,8
27,25,7,1
27,26,8,0
27,27,8,4
27,28,8,0
28,1,0,4
28,2,0,3
28,3,0,5
28,4,1,7
28,5,1,8
28,6,1,4
28,7,2,4
28,8,2,3
28,9,2,1
28,10,3,3
28,11,3,8
28,12,3,4
28,13,4,5
28,14,4,6
28,15,4,4
28,16,4,4
28,17,5,8
28,18,5,5
28,19,5,7
28,20,6,1
28,21,6,4
28,22,6,7
28,23,7,5
28,24,7,5
28,25,7,8
28,26,8,3
28,27,8,0
28,28,8,8
29,1,0,8
29,2,0,4
29,3,0,4
29,4,1,1
29,5,1,0
29,6,1,3
29,7,2,4
29,8,2,5
29,9,2,3
29,10,3,7
29,11,3,4
29,12,3,0
29,13,4,4
29,14,4,5
29,15,4,6
29,16,4,4
29,17,5,5
29,18,5,4
29,19,5,5
29,20,6,8
29,21,6,6
29,22,6,6
29,23,7,6
29,24,7,4
29,25,7,7
29,26,8,1
29,27,8,4
29,28,8,1
30,1,0,8
30,2,0,5
30,3,0,3
30,4,1,5
30,5,1,3
30,6,1,8
30,7,2,8
30,8,2,4
30,9,2,4
30,10,3,4
30,11,3,4
30,12,3,3
30,13,4,7
30,14,4,8
30,15,4,3
30,16,4,3
30,17,5,7
30,18,5,5
30,19,5,5
30,20,6,4
30,21,6,5
30,22,6,8
30,23,7,0
30,24,7,0
30,25,7,1
30,26,8,7
30,27,8,7
30,28,8,0
31,1,0,7
31,2,0,8
31,3,0,8
31,4,1,7
31,5,1,7
31,6,1,7
31,7,2,8
31,8,2,6
31,9,2,7
31,10,3,6
31,11,3,5
31,12,3,8
31,13,4,8
31,14,4,7
31,15,4,7
31,16,4,7
31,17,5,1
31,18,5,7
31,19,5,2
31,20,6,2
31,21,6,2
31,22,6,7
31,23,7,7
31,24,7,1
31,25,7,2
31,26,8,1
31,27,8,8
31,28,8,7
32,1,0,0
32,2,0,7
32,3,0,5
32,4,1,5
32,5,1,8
32,6,1,6
32,7,2,2
32,8,2,7
32,9,2,0
32,10,3,8
32,11,3,5
32,12,3,0
32,13,4,0
32,14,4,0
32,15,4,4
32,16,4,4
32,17,5,0
32,18,5,8
32,19,5,5
32,20,6,4
32,21,6,6
32,22,6,5
32,23,7,0
32,24,7,6
32,25,7,0
32,26,8,8
32,27,8,0
32,28,8,0
33,1,0,6
33,2,0,7
33,3,0,5
33,4,1,7
33,5,1,7
33,6,1,0
33,7,2,7
33,8,2,6
33,9,2,3
33,10,3,3
33,11,3,4
33,12,3,5
33,13,4,7
33,14,4,6
33,15,4,6
33,16,4,4
33,17,5,4
33,18,5,7
33,19,5,5
33,20,6,6
33,21,6,4
33,22,6,3
33,23,7,6
33,24,7,1
33,25,7,4
33,26,8,2
33,27,8,6
33,28,8,4
34,1,0,3
34,2,0,7
34,3,0,3
34,4,1,1
34,5,1,3
34,6,1,7
34,7,2,0
34,8,2,4
34,9,2,5
34,10,3,0
34,11,3,6
34,12,3,4
34,13,4,2
34,14,4,1
34,15,4,2
34,16,4,6
34,17,5,5
34,18,5,5
34,19,5,2
34,20,6,0
34,21,6,6
34,22,6,6
34,23,7,5
34,24,7,3
34,25,7,4
34,26,8,2
34,27,8,8
34,28,8,6
35,1,0,7
35,2,0,3
35,3,0,0
35,4,1,4
35,5,1,0
35,6,1,7
35,7,2,8
35,8,2,7
35,9,2,5
35,10,3,6
35,11,3,3
35,12,3,7
35,13,4,7
35,14,4,8
35,15,4,6
35,16,4,0
35,17,5,3
35,18,5,7
35,19,5,0
35,20,6,2
35,21,6,7
35,22,6,1
35,23,7,6
35,24,7,3
35,25,7,8
35,26,8,6
35,27,8,5
35,28,8,0
36,1,0,1
36,2,0,4
36,3,0,7
36,4,1,5
36,5,1,4
36,6,1,7
36,7,2,5
36,8,2,1
36,9,2,7
36,10,3,2
36,11,3,3
36,12,3,0
36,13,4,4
36,14,4,7
36,15,4,0
36,16,4,0
36,17,5,5
36,18,5,0
36,19,5,5
36,20,6,1
36,21,6,0
36,22,6,4
36,23,7,6
36,24,7,4
36,25,7,8
36,26,8,0
36,27,8,6
36,28,8,1
37,1,0,0
37,2,0,5
37,3,0,5
37,4,1,8
37,5,1,6
37,6,1,3
37,7,2,7
37,8,2,8
37,9,2,1
37,10,3,0
37,11,3,3
37,12,3,3
37,13,4,1
37,14,4,0
37,15,4,1
37,16,4,4
37,17,5,5
37,18,5,5
37,19,5,5
37,20,6,6
37,21,6,5
37,22,6,6
37,23,7,8
37,24,7,3
37,25,7,4
37,26,8,1
37,27,8,5
37,28,8,7
38,1,0,4
38,2,0,5
38,3,0,5
38,4,1,2
38,5,1,4
38,6,1,8
38,7,2,5
38,8,2,0
38,9,2,4
38,10,3,3
38,11,3,2
38,12,3,7
38,13,4,2
38,14,4,6
38,15,4,4
38,16,4,6
38,17,5,5
38,18,5,3
38,19,5,5
38,20,6,4
38,21,6,7
38,22,6,4
38,23,7,5
38,24,7,1
38,25,7,5
38,26,8,8
38,27,8,5
38,28,8,5
39,1,0,8
39,2,0,1
39,3,0,5
39,4,1,5
39,5,1,8
39,6,1,5
39,7,2,4
39,8,2,4
39,9,2,4
39,10,3,3
39,11,3,5
39,12,3,6
39,13,4,1
39,14,4,4
39,15,4,4
39,16,4,5
39,17,5,4
39,18,5,5
39,19,5,6
39,20,6,8
39,21,6,4
39,22,6,4
39,23,7,7
39,24,7,3
39,25,7,5
39,26,8,6
39,27,8,1
39,28,8,7
40,1,0,8
40,2,0,5
40,3,0,7
40,4,1,4
40,5,1,8
40,6,1,8
40,7,2,0
40,8,2,6
40,9,2,2
40,10,3,4
40,11,3,7
40,12,3,7
40,13,4,7
40,14,4,1
40,15,4,8
40,16,4,6
40,17,5,6
40,18,5,7
40,19,5,5
40,20,6,4
40,21,6,3
40,22,6,5
40,23,7,6
40,24,7,6
40,25,7,0
40,26,8,4
40,27,8,8
40,28,8,7
41,1,0,0
41,2,0,8
41,3,0,0
41,4,1,4
41,5,1,3
41,6,1,6
41,7,2,8
41,8,2,6
41,9,2,5
41,10,3,3
41,11,3,6
41,12,3,5
41,13,4,8
41,14,4,5
41,15,4,6
41,16,4,0
41,17,5,4
41,18,5,5
41,19,5,5
41,20,6,7
41,21,6,5
41,22,6,3
41,23,7,3
41,24,7,0
41,25,7,3
41,26,8,6
41,27,8,8
41,28,8,8
42,1,0,7
42,2,0,6
42,3,0,1
42,4,1,1
42,5,1,5
42,6,1,6
42,7,2,5
42,8,2,7
42,9,2,8
42,10,3,6
42,11,3,5
42,12,3,3
42,13,4,3
42,14,4,6
42,15,4,8
42,16,4,8
42,17,5,5
42,18,5,2
42,19,5,5
42,20,6,4
42,21,6,6
42,22,6,1
42,23,7,0
42,24,7,1
42,25,7,6
42,26,8,3
42,27,8,0
42,28,8,4
43,1,0,5
43,2,0,6
43,3,0,3
43,4,1,4
43,5,1,8
43,6,1,2
43,7,2,6
43,8,2,6
43,9,2,2
43,10,3,4
43,11,3,4
43,12,3,2
43,13,4,5
43,14,4,6
43,15,4,3
43,16,4,2
43,17,5,2
43,18,5,3
43,19,5,2
43,20,6,6
43,21,6,8
43,22,6,2
43,23,7,2
43,24,7,4
43,25,7,0
43,26,8,2
43,27,8,4
43,28,8,4
44,1,0,4
44,2,0,2
44,3,0,5
44,4,1,2
44,5,1,2
44,6,1,1
44,7,2,7
44,8,2,2
44,9,2,2
44,10,3,0
44,11,3,6
44,12,3,2
44,13,4,2
44,14,4,2
44,15,4,7
44,16,4,7
44,17,5,7
44,18,5,7
44,19,5,2
44,20,6,5
44,21,6,2
44,22,6,3
44,23,7,3
44,24,7,3
44,25,7,7
44,26,8,2
44,27,8,3
44,28,8,0
45,1,0,8
45,2,0,4
45,3,0,3
45,4,1,8
45,5,1,4
45,6,1,4
45,7,2,4
45,8,2,7
45,9,2,4
45,10,3,4
45,11,3,4
45,12,3,0
45,13,4,1
45,14,4,4
45,15,4,5
45,16,4,7
45,17,5,5
45,18,5,0
45,19,5,4
45,20,6,4
45,21,6,4
45,22,6,7
45,23,7,6
45,24,7,8
45,25,7,5
45,26,8,6
45,27,8,6
45,28,8,4
46,1,0,7
46,2,0,7
46,3,0,2
46,4,1,4
46,5,1,4
46,6,1,7
46,7,2,2
46,8,2,8
46,9,2,7
46,10,3,2
46,11,3,3
46,12,3,8
46,13,4,4
46,14,4,7
46,15,4,2
46,16,4,8
46,17,5,8
46,18,5,8
46,19,5,5
46,20,6,5
46,21,6,7
46,22,6,7
46,23,7,8
46,24,7,8
46,25,7,2
46,26,8,8
46,27,8,7
46,28,8,7
47,1,0,1
47,2,0,7
47,3,0,5
47,4,1,1
47,5,1,6
47,6,1,4
47,7,2,5
47,8,2,2
47,9,2,4
47,10,3,3
47,11,3,0
47,12,3,8
47,13,4,7
47,14,4,5
47,15,4,5
47,16,4,1
47,17,5,2
47,18,5,1
47,19,5,1
47,20,6,2
47,21,6,1
47,22,6,1
47,23,7,7
47,24,7,6
47,25,7,2
47,26,8,8
47,27,8,4
47,28,8,1
48,1,0,1
48,2,0,4
48,3,0,8
48,4,1,3
48,5,1,0
48,6,1,4
48,7,2,8
48,8,2,3
48,9,2,8
48,10,3,0
48,11,3,4
48,12,3,4
48,13,4,3
48,14,4,2
48,15,4,8
48,16,4,1
48,17,5,5
48,18,5,5
48,19,5,5
48,20,6,4
48,21,6,8
48,22,6,6
48,23,7,7
48,24,7,3
48,25,7,6
48,26,8,8
48,27,8,8
48,28,8,8
49,1,0,3
49,2,0,2
49,3,0,8
49,4,1,4
49,5,1,6
49,6,1,5
49,7,2,5
49,8,2,1
49,9,2,0
49,10,3,6
49,11,3,8
49,12,3,2
49,13,4,4
49,14,4,6
49,15,4,4
49,16,4,8
49,17,5,5
49,18,5,5
49,19,5,5
49,20,6,4
49,21,6,2
49,22,6,7
49,23,7,2
49,24,7,6
49,25,7,0
49,26,8,8
49,27,8,7
49,28,8,5
50,1,0,8
50,2,0,7
50,3,0,5
50,4,1,5
50,5,1,7
50,6,1,1
50,7,2,7
50,8,2,4
50,9,2,7
50,10,3,8
50,11,3,7
50,12,3,6
50,13,4,4
50,14,4,4
50,15,4,7
50,16,4,4
50,17,5,5
50,18,5,5
50,19,5,5
50,20,6,4
50,21,6,4
50,22,6,4
50,23,7,2
50,24,7,6
50,25,7,5
50,26,8,8
50,27,8,4
50,28,8,7
51,1,0,0
51,2,0,5
51,3,0,8
51,4,1,3
51,5,1,3
51,6,1,5
51,7,2,8
51,8,2,5
51,9,2,4
51,10,3,8
51,11,3,4
51,12,3,1
51,13,4,3
51,14,4,4
51,15,4,8
51,16,4,4
51,17,5,5
51,18,5,4
51,19,5,5
51,20,6,7
51,21,6,3
51,22,6,4
51,23,7,5
51,24,7,3
51,25,7,4
51,26,8,0
51,27,8,1
51,28,8,8
52,1,0,4
52,2,0,4
52,3,0,1
52,4,1,4
52,5,1,0
52,6,1,2
52,7,2,7
52,8,2,4
52,9,2,4
52,10,3,4
52,11,3,4
52,12,3,7
52,13,4,4
52,14,4,4
52,15,4,4
52,16,4,4
52,17,5,4
52,18,5,8
52,19,5,5
52,20,6,4
52,21,6,4
52,22,6,4
52,23,7,4
52,24,7,4
52,25,7,6
52,26,8,6
52,27,8,4
52,28,8,7
53,1,0,3
53,2,0,1
53,3,0,5
53,4,1,8
53,5,1,0
53,6,1,1
53,7,2,8
53,8,2,0
53,9,2,4
53,10,3,4
53,11,3,4
53,12,3,4
53,13,4,2
53,14,4,6
53,15,4,0
53,16,4,2
53,17,5,2
53,18,5,8
53,19,5,5
53,20,6,8
53,21,6,7
53,22,6,1
53,23,7,8
53,24,7,7
53,25,7,2
53,26,8,6
53,27,8,5
53,28,8,8
54,1,0,4
54,2,0,0
54,3,0,4
54,4,1,3
54,5,1,5
54,6,1,4
54,7,2,4
54,8,2,2
54,9,2,4
54,10,3,4
54,11,3,3
54,12,3,4
54,13,4,3
54,14,4,8
54,15,4,4
54,16,4,5
54,17,5,5
54,18,5,5
54,19,5,5
54,20,6,2
54,21,6,6
54,22,6,3
54,23,7,6
54,24,7,8
54,25,7,8
54,26,8,4
54,27,8,3
54,28,8,8
55,1,0,2
55,2,0,2
55,3,0,5
55,4,1,3
55,5,1,4
